generation,vote_counts,winner_idx
0,"[45, 10, 12, 33]",0
1,"[0, 76, 1, 23]",1
2,"[76, 0, 24, 0]",0
3,"[2, 24, 0, 74]",3
4,"[70, 26, 4, 0]",0
5,"[1, 67, 30, 2]",1
6,"[33, 1, 0, 66]",3
7,"[1, 0, 33, 66]",3
8,"[66, 31, 2, 1]",0
9,"[37, 1, 59, 3]",2
10,"[3, 34, 60, 3]",2
11,"[0, 58, 42, 0]",1
12,"[42, 2, 2, 54]",3
13,"[0, 0, 44, 56]",3
14,"[2, 51, 3, 44]",1
15,"[6, 0, 46, 48]",3
16,"[4, 47, 0, 49]",3
17,"[43, 4, 0, 53]",3
18,"[0, 52, 47, 1]",1
19,"[0, 52, 0, 48]",1
20,"[0, 2, 49, 49]",2
21,"[44, 3, 2, 51]",3
22,"[0, 44, 5, 51]",3
23,"[47, 2, 49, 2]",2
24,"[49, 51, 0, 0]",1
25,"[47, 50, 2, 1]",1
26,"[47, 1, 49, 3]",2
27,"[49, 51, 0, 0]",1
28,"[43, 0, 53, 4]",2
29,"[4, 0, 47, 49]",3
30,"[44, 5, 51, 0]",2
31,"[48, 49, 3, 0]",1
32,"[0, 5, 51, 44]",2
33,"[51, 44, 5, 0]",0
34,"[51, 3, 0, 46]",0
35,"[0, 51, 0, 49]",1
36,"[44, 4, 47, 5]",2
37,"[47, 1, 3, 49]",3
38,"[0, 5, 51, 44]",2
39,"[49, 3, 0, 48]",0
40,"[0, 5, 51, 44]",2
41,"[34, 49, 0, 17]",1
42,"[0, 0, 49, 51]",3
43,"[0, 49, 51, 0]",2
44,"[49, 47, 4, 0]",0
45,"[51, 43, 5, 1]",0
46,"[5, 0, 44, 51]",3
47,"[47, 0, 49, 4]",2
48,"[43, 4, 52, 1]",2
49,"[2, 2, 49, 47]",2
50,"[47, 0, 52, 1]",2
51,"[49, 0, 4, 47]",0
52,"[3, 46, 4, 47]",3
53,"[47, 49, 4, 0]",1
54,"[47, 2, 51, 0]",2
55,"[49, 47, 4, 0]",0
56,"[0, 49, 51, 0]",2
57,"[49, 1, 3, 47]",0
58,"[2, 47, 0, 51]",3
59,"[49, 0, 47, 4]",0
60,"[0, 49, 51, 0]",2
61,"[48, 0, 3, 49]",3
62,"[0, 51, 47, 2]",1
